timestamp,stmp_vwmp (lower),lmax_vwmp (lower),gmni_vwmp (lower),itbi_vwmp (lower),okcn_vwmp (lower),bfnx_vwmp (lower),btrx_vwmp (lower),bfly_vwmp (lower),bnus_vwmp (lower),cbse_vwmp (lower),krkn_vwmp (lower),all_vwmp (lower)
2021-02-24 07:50:00,50176.09,50227.0,50331.77,50213.75,50271.02,50315.0,50250.0,,50210.19,50289.61,50334.9,50176.62
2021-02-24 07:55:00,50171.0,50145.5,50206.56,50142.25,50191.06,50153.0,50156.82,,50135.5,50129.46,50164.1,50199.9
2021-02-24 08:00:00,50178.47,50084.0,50067.82,50152.75,49985.28,50073.0,50111.51,49890.34,50120.06,49979.62,50128.2,50114.0
2021-02-24 08:05:00,50310.37,50462.5,50207.79,50241.25,50358.57,50439.0,50461.4,,50163.48,50193.2,50200.0,50452.93
2021-02-24 08:10:00,50388.13,50379.5,50393.85,50502.5,50401.33,50450.0,50390.7,50410.65,50400.0,50433.4,50400.0,50448.25
2021-02-24 08:15:00,50561.49,50848.5,50897.03,50748.25,50759.72,50900.0,50850.0,,50540.29,50615.59,50774.3,50687.31
2021-02-24 08:20:00,50622.87,50581.0,50717.75,50660.0,50631.85,50780.0,50703.59,,50689.27,50654.77,50697.5,50635.0
2021-02-24 08:25:00,50633.95,50628.5,50627.28,50642.5,50694.89,50703.0,50638.56,,50647.16,50641.05,50622.6,50629.76
2021-02-24 08:30:00,50759.34,50823.5,50866.7,50808.5,50743.1,50757.0,50735.93,,50796.49,50716.72,50893.0,50860.5
2021-02-24 08:35:00,50773.57,50799.5,50715.3,50720.25,50777.6,50689.0,50700.81,50726.45,50738.12,50773.98,50841.5,50664.0
2021-02-24 08:40:00,50493.97,50665.4,50678.49,50642.75,50698.26,50500.0,50681.44,,50667.73,50500.0,50642.3,50516.03
2021-02-24 08:45:00,50610.35,50347.5,50504.23,50470.5,50437.56,50463.0,50506.36,,50316.84,50477.25,50445.4,50479.92
2021-02-24 08:50:00,50544.5,50655.5,50525.1,50680.25,50532.43,50617.0,50571.46,,50629.85,50664.82,50690.1,50566.27
2021-02-24 08:55:00,50730.37,50720.5,50785.03,50700.0,50725.79,50570.0,50670.08,,50653.24,50686.7,50700.5,50726.05
2021-02-24 09:00:00,50487.54,50542.9,50514.7,50560.0,50474.79,50359.0,50708.79,,50661.48,50573.97,50582.8,50565.47
2021-02-24 09:05:00,50560.85,50517.0,50579.93,50542.75,50489.87,50466.22,50485.63,,50505.07,50543.36,50600.7,50486.56
2021-02-24 09:10:00,50388.29,50454.0,50580.0,50440.5,50371.57,50400.0,50367.04,,50585.62,50366.96,50549.2,50496.92
2021-02-24 09:15:00,50735.99,50878.5,50619.64,50618.75,50827.35,50752.0,50862.6,50890.43,50880.0,50872.79,50889.9,50829.0
2021-02-24 09:20:00,51000.0,50903.0,50916.45,50922.75,50852.35,50786.0,50945.52,50900.0,50858.66,50898.33,50850.9,50825.0
2021-02-24 09:25:00,50819.01,50842.5,50811.62,50827.5,50874.52,50739.14,50792.98,,50816.83,50849.96,50877.3,50777.92
2021-02-24 09:30:00,50948.1,50976.0,50789.26,50919.75,50886.54,50874.0,51008.86,50907.35,50871.0,50884.77,51060.8,50892.12
2021-02-24 09:35:00,50960.09,51052.5,51200.0,51000.0,50997.06,50984.9,51223.6,50846.85,51140.28,50994.0,51168.4,50979.0
2021-02-24 09:40:00,51239.52,51388.0,51362.73,51355.0,51401.08,51230.0,51186.05,,51399.98,51300.4,51277.6,51300.0
2021-02-24 09:45:00,51130.57,51255.5,51300.0,51190.0,51233.18,51025.0,51114.57,,51184.54,51119.52,51206.5,51270.29
2021-02-24 09:50:00,50968.36,50932.5,51010.12,50944.5,50942.7,50834.0,50991.0,,50913.54,50924.34,51012.1,50971.81
2021-02-24 09:55:00,50895.97,50895.0,50885.03,50920.0,50909.89,50798.0,50955.97,,50893.66,50907.53,50905.9,50900.0
2021-02-24 10:00:00,50980.49,50997.5,50983.28,51000.25,50982.05,50820.0,50962.64,,50920.57,50917.0,50932.4,50910.57
2021-02-24 10:05:00,50966.34,50845.5,50835.5,50767.25,50861.22,50800.0,50964.17,,50746.01,50885.56,50888.8,50667.0
2021-02-24 10:10:00,50808.03,50641.5,50917.1,50819.5,50944.84,50573.0,50965.89,,50786.28,50897.52,50770.9,50588.0
2021-02-24 10:15:00,50534.15,50565.5,50437.05,50570.5,50608.35,50258.0,50540.4,,50555.9,50397.18,50449.9,50596.66
2021-02-24 10:20:00,50565.81,50578.0,50493.17,50499.0,50612.9,50445.0,50587.74,,50516.9,50510.77,50525.1,50430.0
2021-02-24 10:25:00,50470.0,50423.0,50466.48,50497.25,50392.35,50350.0,50562.39,,50461.17,50450.21,50251.0,50350.0
2021-02-24 10:30:00,50585.37,50581.5,50604.46,50598.0,50618.34,50450.0,50627.79,50544.26,50603.84,50621.6,50550.0,50450.0
2021-02-24 10:35:00,50328.3,50326.0,50362.23,50397.5,50421.67,50320.0,50427.19,50486.11,50322.02,50299.69,50317.1,50373.54
2021-02-24 10:40:00,50424.39,50425.5,50496.35,50553.25,50577.43,50450.0,50574.06,,50506.87,50536.2,50564.3,50572.64
2021-02-24 10:45:00,50575.9,50562.5,50541.5,50594.5,50619.2,50440.0,50569.06,,50517.91,50526.66,50553.6,50564.56
2021-02-24 10:50:00,50510.3,50549.5,50369.52,50560.25,50586.47,50483.0,50520.44,,50515.45,50538.91,50500.4,50500.0
2021-02-24 10:55:00,50250.0,50312.0,50274.66,50297.75,50198.17,50300.0,50228.19,,50116.94,50300.0,50169.6,50169.25
2021-02-24 11:00:00,50435.06,50301.5,50261.66,50353.25,50348.06,50370.0,50504.17,,50285.31,50234.97,50360.6,50436.5
2021-02-24 11:05:00,50457.52,50542.0,50548.25,50616.0,50545.92,50457.0,50562.96,,50558.98,50552.39,50624.4,50616.5
2021-02-24 11:10:00,50550.0,50557.5,50551.0,50579.75,50597.09,50513.0,50600.15,50500.0,50478.74,50497.31,50550.4,50417.8
2021-02-24 11:15:00,50414.03,50345.0,50410.28,50340.25,50421.6,50339.0,50305.92,,50340.0,50411.87,50427.7,50300.01
2021-02-24 11:20:00,50437.04,50660.5,50861.17,50918.75,50412.5,50473.0,50856.77,50436.16,50540.48,50450.17,50835.8,50829.2
2021-02-24 11:25:00,50789.91,50869.0,50809.2,50821.25,50802.51,50685.0,50822.3,,50787.44,50753.64,50765.5,50761.0
2021-02-24 11:30:00,50771.99,50704.5,50800.0,50847.5,50744.67,50682.0,50787.29,,50757.43,50807.14,50788.7,50777.0
2021-02-24 11:35:00,50674.92,50699.5,50682.61,50685.0,50679.78,50608.0,50681.17,50702.08,50662.11,50671.95,50633.5,50677.26
2021-02-24 11:40:00,50318.33,50558.5,50383.32,50640.5,50511.48,50460.0,50580.99,,50477.19,50625.59,50500.0,50433.13
2021-02-24 11:45:00,50442.9,50345.5,50382.13,50400.0,50376.39,50393.0,50394.0,,50372.58,50382.32,50444.0,50369.32
2021-02-24 11:50:00,50346.78,50290.5,50382.4,50311.25,50350.99,50240.0,50385.44,,50335.89,50268.29,50315.5,50386.38
2021-02-24 11:55:00,50376.52,50363.0,50389.91,50369.5,50406.3,50321.0,50325.79,,50340.3,50365.0,50391.5,50380.0
2021-02-24 12:00:00,50500.0,50585.0,50625.62,50416.25,50603.09,50387.0,50600.56,,50644.21,50494.93,50392.1,50545.9
2021-02-24 12:05:00,50737.01,50718.5,50512.87,50627.0,50690.07,50613.0,50724.91,,50703.17,50756.6,50738.2,50754.98
2021-02-24 12:10:00,50702.47,50385.5,50769.26,50520.25,50779.94,50334.0,50598.09,,50678.72,50517.32,50434.4,50443.43
2021-02-24 12:15:00,50950.97,50862.0,50759.94,50870.0,50940.49,50747.0,50891.54,,50769.43,50858.07,50937.7,50829.86
2021-02-24 12:20:00,51000.0,51029.5,50973.85,51082.25,50955.64,50985.0,50996.4,,50834.64,51120.0,50883.8,51095.49
2021-02-24 12:25:00,51167.79,51090.5,51090.42,51168.5,51163.36,51092.0,51128.11,51078.18,51131.56,51150.0,51074.9,51146.44
2021-02-24 12:30:00,51167.3,51107.5,51145.79,51190.0,51131.69,51125.0,51237.74,,51145.88,51170.3,51026.5,51206.5
2021-02-24 12:35:00,51102.81,51210.0,51220.77,51230.75,51176.86,51140.0,51161.89,51229.87,51145.13,51250.48,51133.6,51193.8
2021-02-24 12:40:00,50919.73,50922.5,51000.0,51035.0,51034.88,50875.0,51151.86,,51128.04,51116.75,50975.8,50990.31
2021-02-24 12:45:00,50933.33,51007.0,50921.16,50960.25,51052.35,50999.0,50983.49,,50947.32,50937.6,50939.7,50930.28
2021-02-24 12:50:00,51003.23,50965.0,50860.54,51020.25,50873.23,50874.0,50865.18,,51039.19,51006.07,50940.2,50860.0
2021-02-24 12:55:00,50801.3,50756.0,50897.09,50845.5,50853.33,50616.0,50905.28,,50718.49,50708.44,50751.9,50730.1
2021-02-24 13:00:00,50850.0,50881.5,51072.3,50860.25,51049.61,50917.0,50947.28,,50883.26,50840.26,51052.6,50933.0
2021-02-24 13:05:00,50673.36,50532.0,50553.67,50606.0,50600.0,50557.0,50663.91,,50513.94,50695.25,50615.5,50600.0
2021-02-24 13:10:00,50697.97,50507.5,50500.0,50485.0,50663.73,50442.0,50478.64,50500.0,50496.44,50537.54,50450.0,50693.63
2021-02-24 13:15:00,49865.09,49848.5,50092.3,50084.75,50312.19,49709.0,50000.0,50124.32,49982.46,49855.85,49662.3,50000.0
2021-02-24 13:20:00,49810.43,49536.0,49677.0,49596.5,49847.0,49730.0,49600.0,49560.79,49754.28,49500.0,49789.2,49839.0
2021-02-24 13:25:00,49769.18,49825.0,49614.85,49939.75,49675.08,49880.0,49949.92,,49883.38,49962.2,49900.0,49893.05
2021-02-24 13:30:00,49153.71,49593.0,49176.3,49500.0,49675.08,49665.0,49343.48,49216.5,49585.37,49301.7,49371.4,49319.63
2021-02-24 13:35:00,49454.91,49274.5,49500.0,49340.5,49409.36,49350.0,49242.9,,49481.23,49322.86,49499.9,49382.5
2021-02-24 13:40:00,49457.46,49442.0,49386.19,49519.75,49537.1,49418.0,49428.97,49381.93,49469.63,49352.12,49499.3,49464.62
2021-02-24 13:45:00,49740.53,49464.0,49559.17,49351.25,49756.77,49422.0,49344.08,49870.34,49484.72,49720.0,49354.6,49739.5
2021-02-24 13:50:00,49755.57,49608.5,49646.4,49728.5,49700.95,49748.0,49770.46,49699.0,49752.82,49569.2,49549.6,49676.5
2021-02-24 13:55:00,49465.26,49487.5,49468.94,49580.0,49462.57,49470.0,49460.57,,49484.12,49461.2,49461.4,49432.26
2021-02-24 14:00:00,49648.74,49631.0,49583.7,49690.25,49707.7,49689.0,49746.38,,49497.41,49513.62,49633.2,49689.0
2021-02-24 14:05:00,49702.19,49314.5,49368.34,49372.5,49450.86,49312.0,49348.54,49700.0,49756.79,49371.13,49640.1,49339.0
2021-02-24 14:10:00,49132.36,49396.0,49421.66,49331.5,49252.48,49288.32,49404.81,49280.97,49220.0,49307.94,49222.1,49212.5
2021-02-24 14:15:00,49542.79,49423.5,49415.54,49467.75,49607.48,49534.0,49517.86,49516.91,49575.07,49437.07,49501.2,49287.49
2021-02-24 14:20:00,49413.02,49578.5,49500.25,49480.25,49558.32,49540.0,49515.51,,49552.48,49561.06,49566.7,49552.56
2021-02-24 14:25:00,49468.62,49388.0,49397.09,49480.25,49410.78,49403.0,49489.07,,49518.88,49420.73,49472.7,49499.84
2021-02-24 14:30:00,49626.52,49520.5,49589.07,49546.25,49564.42,49400.0,49713.86,,49386.25,49400.7,49420.1,49420.69
2021-02-24 14:35:00,49307.49,49163.0,49179.25,49179.25,49371.88,49251.0,49263.38,49344.0,49238.06,49394.6,49158.7,49229.0
2021-02-24 14:40:00,48782.49,49110.5,48824.86,48897.75,48977.96,49024.0,49272.62,48975.06,49350.25,49055.07,49132.2,48823.0
2021-02-24 14:45:00,49000.19,49234.0,48954.8,49022.0,49091.41,48789.0,49023.28,49200.75,49162.36,48950.55,48815.4,48984.22
2021-02-24 14:50:00,48953.57,49133.5,49060.0,49042.25,49012.68,49134.0,49111.39,49026.73,48999.0,48927.65,49132.6,49121.13
2021-02-24 14:55:00,49171.56,49236.75,49299.0,49429.5,49209.61,49374.0,49174.04,,49138.65,49156.14,49056.4,49249.0
2021-02-24 15:00:00,49584.1,49545.25,49596.99,49614.25,49495.52,49650.0,49660.0,,49477.0,49485.52,49500.0,49651.0
2021-02-24 15:05:00,49208.85,49332.5,49460.92,49320.0,49350.44,49446.0,49244.6,,49500.0,49333.22,49221.1,49429.6
2021-02-24 15:10:00,49022.08,48961.5,49056.9,48899.0,49037.18,48931.0,49026.07,49127.37,48964.42,49000.03,48989.4,49065.5
2021-02-24 15:15:00,48828.63,48908.0,48832.28,48888.0,48732.28,48988.0,48988.05,,48757.01,48829.43,48826.1,48777.0
2021-02-24 15:20:00,48626.81,48705.5,48588.37,48608.75,48604.79,48575.0,48579.0,48631.44,48640.22,48691.88,48741.4,48666.0
2021-02-24 15:25:00,48970.6,49063.0,49017.62,48955.0,49184.44,49057.0,49141.9,48971.42,49232.98,48931.6,49111.8,48931.6
2021-02-24 15:30:00,49337.88,49339.0,49300.29,49327.0,49249.26,49289.0,49369.83,49304.15,49264.16,49082.1,49097.5,49256.14
2021-02-24 15:35:00,49494.45,49522.5,49500.0,49453.5,49482.2,49529.0,49570.58,,49469.0,49562.23,49579.6,49469.0
2021-02-24 15:40:00,49361.82,49237.5,49247.03,49339.5,49298.75,49291.0,49219.06,49321.43,49224.24,49376.85,49329.0,49325.6
2021-02-24 15:45:00,49693.08,49522.0,49522.61,49658.5,49584.95,49520.0,49588.13,,49500.0,49595.32,49486.4,49668.94
2021-02-24 15:50:00,49617.65,49547.0,49546.33,49563.75,49583.54,49547.67,49596.79,,49552.52,49585.4,49644.3,49609.1
