timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,cbse_vwap,sigma,cbse_vwmp (lower)
2021-02-24 14:30:00,0.09,49483.59,49685.48,49358.8,49389.6,100.26,4964629.737792903,49515.52,84.32,49400.7
2021-02-24 14:35:00,0.09,49389.61,49412.04,49092.3,49344.89,119.54,5889901.459387873,49272.77,72.59,49394.6
2021-02-24 14:40:00,0.14,49344.89,49376.22,48731.33,48763.07,171.47,8406159.84221213,49023.17,178.58,49055.07
2021-02-24 14:45:00,0.13,48751.7,49241.71,48751.7,49187.77,150.5,7379689.384313173,49033.94,114.23,48950.55
2021-02-24 14:50:00,0.1,49187.76,49187.77,48912.39,49043.12,132.71,6509942.620549332,49052.31,67.58,48927.65
2021-02-24 14:55:00,0.09,49051.0,49450.0,49051.0,49427.61,98.56,4851279.245396635,49220.79,113.35,49156.14
2021-02-24 15:00:00,0.1,49427.61,49641.49,49379.08,49512.38,113.68,5630072.131967091,49523.67,63.01,49485.52
2021-02-24 15:05:00,0.08,49512.38,49512.38,49180.82,49194.17,74.03,3655830.595897585,49381.78,88.48,49333.22
2021-02-24 15:10:00,0.11,49194.46,49194.46,48847.09,48935.05,131.06,6424521.904530704,49018.17,78.27,49000.03
2021-02-24 15:15:00,0.13,48935.06,49121.73,48665.0,48744.06,172.19,8416981.371713145,48883.1,101.57,48829.43
2021-02-24 15:20:00,0.17,48731.61,48878.22,48500.0,48840.25,243.89,11852531.446517255,48598.46,75.26,48691.88
2021-02-24 15:25:00,0.12,48826.37,49222.01,48810.08,49178.48,156.9,7690556.382904708,49015.92,104.99,48931.6
2021-02-24 15:30:00,0.11,49178.47,49379.0,49022.9,49300.72,196.27,9658568.916938292,49210.86,97.76,49082.1
2021-02-24 15:35:00,0.12,49300.72,49617.3,49300.71,49417.82,226.63,11223812.024296273,49524.94,68.61,49562.23
2021-02-24 15:40:00,0.1,49420.01,49460.0,49175.0,49277.63,141.62,6987518.305540275,49338.81,64.43,49376.85
2021-02-24 15:45:00,0.1,49276.13,49717.45,49268.86,49516.62,126.98,6292770.979324139,49557.81,87.13,49595.32
2021-02-24 15:50:00,0.07,49497.88,49637.99,49493.23,49575.99,65.51,3247576.287721134,49574.87,28.87,49585.4
2021-02-24 15:55:00,0.12,49573.08,49877.97,49569.61,49850.22,143.25,7130831.434513996,49778.39,85.39,49836.5
2021-02-24 16:00:00,0.12,49850.0,50144.92,49800.01,49914.51,191.74,9580487.78852495,49966.55,89.32,49958.38
2021-02-24 16:05:00,0.1,49914.5,49998.99,49785.86,49875.94,183.14,9141922.923947588,49917.24,59.82,49796.94
2021-02-24 16:10:00,0.08,49887.21,49908.65,49659.55,49740.52,100.69,5009439.538448787,49750.27,48.82,49768.84
2021-02-24 16:15:00,0.07,49747.9,49760.68,49566.55,49599.49,83.53,4149715.612431768,49680.49,43.98,49750.29
2021-02-24 16:20:00,0.09,49597.29,49833.81,49365.0,49554.63,137.84,6837371.261563369,49602.03,111.04,49371.62
2021-02-24 16:25:00,0.07,49554.63,49639.18,49460.1,49513.85,80.12,3972492.0331845726,49583.36,38.07,49584.1
2021-02-24 16:30:00,0.08,49524.42,49804.84,49501.0,49685.0,95.93,4765905.943384507,49681.49,81.01,49659.58
2021-02-24 16:35:00,0.08,49688.8,49882.8,49688.8,49767.14,60.46,3009714.906415209,49777.45,44.3,49781.29
2021-02-24 16:40:00,0.07,49767.14,49767.14,49600.0,49625.57,60.02,2980594.834714021,49664.01,33.75,49651.62
2021-02-24 16:45:00,0.06,49625.57,49699.88,49555.1,49670.03,55.29,2743773.2898916192,49628.14,34.43,49592.25
2021-02-24 16:50:00,0.07,49670.03,49823.84,49550.0,49555.23,57.05,2836761.5873739775,49723.69,66.05,49671.94
2021-02-24 16:55:00,0.08,49550.0,49628.74,49353.95,49371.5,55.11,2726371.6838374087,49468.2,79.73,49566.69
2021-02-24 17:00:00,0.07,49371.49,49656.22,49360.64,49643.79,66.41,3286271.944458344,49483.25,94.25,49505.78
2021-02-24 17:05:00,0.09,49642.31,49999.0,49561.08,49935.06,86.54,4313588.124601741,49843.66,137.8,49840.9
2021-02-24 17:10:00,0.08,49935.06,49985.81,49747.57,49787.34,71.12,3547113.237794332,49871.73,58.99,49886.56
2021-02-24 17:15:00,0.06,49780.89,49922.01,49780.88,49876.98,75.59,3768494.8293333296,49853.31,30.09,49853.08
2021-02-24 17:20:00,0.07,49876.97,49961.49,49831.53,49920.02,71.87,3585616.4270050004,49892.92,33.37,49917.14
2021-02-24 17:25:00,0.07,49920.01,49920.01,49720.37,49740.88,74.28,3701147.1033563,49827.32,45.05,49722.04
2021-02-24 17:30:00,0.07,49744.8,49900.0,49637.27,49696.16,78.55,3906406.661487752,49733.82,64.5,49792.65
2021-02-24 17:35:00,0.07,49697.6,49855.28,49662.73,49774.96,88.41,4394903.229787312,49713.0,53.77,49768.87
2021-02-24 17:40:00,0.06,49774.96,49930.37,49748.29,49901.88,39.88,1988419.3686776976,49855.08,48.73,49879.71
2021-02-24 17:45:00,0.06,49901.88,49920.24,49785.91,49819.12,75.7,3773291.432153727,49845.9,33.53,49859.34
2021-02-24 17:50:00,0.06,49819.12,49859.65,49801.82,49857.64,50.66,2524964.61602874,49843.84,13.89,49859.65
2021-02-24 17:55:00,0.08,49847.42,50113.72,49847.41,50096.69,101.58,5074976.444705824,49960.8,71.03,49950.0
