timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,lmax_vwap,sigma,lmax_vwmp (lower)
2021-02-24 03:50:00,0.0,50752.5,50902.0,50737.5,50820.0,17.64,896235.42,50807.0,38.89,50819.0
2021-02-24 03:55:00,0.01,50866.0,50999.5,50866.0,50929.0,29.57,1506361.7228,50942.23,45.84,50947.0
2021-02-24 04:00:00,0.01,50937.25,51145.5,50934.0,51057.5,37.26,1901591.0364,51035.72,45.87,51047.5
2021-02-24 04:05:00,0.01,51126.5,51244.0,51114.5,51205.5,35.0,1791357.54,51181.64,35.95,51233.5
2021-02-24 04:10:00,0.01,51187.5,51314.0,51172.0,51313.0,26.49,1357673.68,51252.31,36.67,51266.5
2021-02-24 04:15:00,0.0,51366.5,51409.0,50947.0,51006.25,29.09,1490123.2225,51224.59,133.85,51322.5
2021-02-24 04:20:00,0.0,51025.5,51115.5,50871.0,51059.0,14.87,758115.5725,50982.89,53.97,50983.5
2021-02-24 04:25:00,0.0,51079.0,51079.0,50705.0,50766.4,28.79,1464643.037,50873.33,117.83,50705.5
2021-02-24 04:30:00,0.0,50819.0,50877.0,50686.0,50776.5,14.26,724236.0725,50787.94,50.43,50830.0
2021-02-24 04:35:00,0.0,50724.0,50865.5,50639.0,50643.0,14.44,732217.2606,50707.57,54.38,50740.5
2021-02-24 04:40:00,0.01,50619.0,50640.0,50353.25,50353.25,63.86,3222757.4313,50465.98,61.56,50447.5
2021-02-24 04:45:00,0.01,50360.5,50675.0,50360.5,50652.5,49.12,2485343.57465,50597.39,61.4,50632.8
2021-02-24 04:50:00,0.0,50680.5,50968.0,50665.5,50899.6,32.27,1641396.627,50864.48,60.71,50917.0
2021-02-24 04:55:00,0.0,50878.0,50878.0,50623.0,50623.0,37.68,1913333.014,50778.48,69.18,50842.9
2021-02-24 05:00:00,0.01,50761.6,50920.5,50720.5,50887.5,35.47,1803069.0405,50833.64,56.63,50867.5
2021-02-24 05:05:00,0.0,50918.0,51032.5,50865.0,50959.0,28.22,1437926.3495,50954.16,43.57,50871.5
2021-02-24 05:10:00,0.0,50937.5,50945.5,50644.67,50705.0,19.32,980544.80767,50752.84,92.65,50712.5
2021-02-24 05:15:00,0.0,50649.0,50649.0,50225.0,50232.0,24.9,1254464.1438,50380.09,109.16,50433.5
2021-02-24 05:20:00,0.01,50222.5,50403.0,50028.5,50074.0,45.41,2279284.7397000003,50193.45,90.28,50086.0
2021-02-24 05:25:00,0.0,50138.5,50377.5,50126.5,50377.5,38.02,1909324.9274,50218.96,60.46,50219.5
2021-02-24 05:30:00,0.0,50379.0,50385.96,50246.0,50275.5,15.17,763055.8768,50300.32,38.11,50266.5
2021-02-24 05:35:00,0.0,50299.5,50543.5,50258.5,50496.5,11.22,565551.797,50405.69,74.19,50418.5
2021-02-24 05:40:00,0.0,50496.5,50532.0,50277.5,50396.0,8.45,426091.1101,50424.98,74.31,50415.5
2021-02-24 05:45:00,0.0,50410.5,50531.0,50315.0,50315.0,5.52,278429.12309999997,50440.06,59.75,50450.06
2021-02-24 05:50:00,0.0,50265.0,50449.75,50265.0,50357.5,2.6,130976.4034,50375.54,50.49,50265.0
2021-02-24 05:55:00,0.0,50303.0,50438.0,50236.5,50236.5,15.99,804409.02,50307.01,62.52,50271.0
2021-02-24 06:00:00,0.0,50225.5,50573.5,50225.5,50532.5,20.89,1053610.81999,50436.13,92.34,50523.0
2021-02-24 06:05:00,0.01,50543.5,50691.0,50421.5,50424.0,98.03,4958447.48406,50580.92,51.12,50597.0
2021-02-24 06:10:00,0.01,50549.0,50572.5,49565.0,49740.0,100.44,5028880.51837,50068.5,260.14,50451.5
2021-02-24 06:15:00,0.01,49645.0,49890.5,49475.0,49734.0,74.16,3680618.27449,49630.78,95.39,49475.0
2021-02-24 06:20:00,0.0,49700.5,50150.0,49584.0,50131.0,20.71,1031152.23179,49790.06,187.06,49655.5
2021-02-24 06:25:00,0.0,50111.0,50111.0,49613.0,49677.5,13.26,661358.29253,49876.19,131.38,49925.5
2021-02-24 06:30:00,0.01,49644.5,49920.0,49589.5,49811.5,50.08,2493619.28562,49792.72,95.47,49681.5
2021-02-24 06:35:00,0.0,49679.25,49901.5,49599.5,49869.0,20.89,1039428.2722,49757.22,73.05,49704.5
2021-02-24 06:40:00,0.0,49848.0,50069.0,49774.0,50069.0,14.59,727616.83996,49870.93,67.62,49781.5
2021-02-24 06:45:00,0.0,50035.5,50389.5,50012.0,50182.5,29.85,1498202.80357,50191.05,106.54,50237.0
2021-02-24 06:50:00,0.0,50137.499,50141.5,49931.0,49972.0,8.98,449113.4693,50012.64,51.01,49991.0
2021-02-24 06:55:00,0.01,49968.5,50148.0,49958.5,50096.0,38.91,1947786.6175,50058.77,39.76,50069.0
2021-02-24 07:00:00,0.0,50099.75,50182.5,49928.0,50011.0,11.03,551577.8485,50007.06,57.92,50044.0
2021-02-24 07:05:00,0.0,50022.0,50105.0,49720.5,49844.5,18.09,903503.665,49944.92,100.04,50009.5
2021-02-24 07:10:00,0.0,49729.05,49849.5,49589.5,49589.5,17.84,887885.4342,49769.36,62.63,49823.0
2021-02-24 07:15:00,0.0,49574.0,49878.5,49566.0,49736.0,1.56,77593.69436000001,49739.55,84.03,49694.5
2021-02-24 07:20:00,0.0,49752.0,50053.5,49749.0,49959.5,4.62,230500.385,49891.86,87.6,49982.0
2021-02-24 07:25:00,0.01,49999.0,49999.0,49587.0,49678.5,41.52,2065613.08,49749.83,99.5,49725.0
2021-02-24 07:30:00,0.0,49720.0,50071.5,49720.0,50000.0,10.77,538169.88,49969.35,66.82,50068.5
2021-02-24 07:35:00,0.0,49966.0,50251.5,49915.5,50137.25,41.53,2081496.5542,50120.31,84.43,50204.5
2021-02-24 07:40:00,0.0,50133.5,50170.0,50038.5,50104.5,14.27,715022.13669,50106.67,40.72,50170.0
2021-02-24 07:45:00,0.0,50088.0,50242.0,50005.499,50204.5,11.78,590725.3779900001,50146.47,64.96,50131.0
2021-02-24 07:50:00,0.0,50255.0,50358.5,50100.0,50100.0,30.6,1536704.9975,50219.12,68.69,50227.0
2021-02-24 07:55:00,0.0,50148.5,50221.25,50039.0,50078.0,7.13,357423.035,50129.46,40.89,50145.5
2021-02-24 08:00:00,0.01,50037.5,50166.0,49770.5,50166.0,24.72,1237000.166,50040.46,98.86,50084.0
2021-02-24 08:05:00,0.01,50177.5,50514.5,50128.0,50483.5,34.95,1758617.41353,50318.09,111.02,50462.5
2021-02-24 08:10:00,0.01,50482.0,50522.5,50338.0,50488.5,32.57,1641653.4058,50403.85,37.62,50379.5
2021-02-24 08:15:00,0.01,50514.5,50901.5,50503.5,50775.5,57.46,2915098.08554,50732.65,106.23,50848.5
2021-02-24 08:20:00,0.0,50768.5,50768.5,50567.0,50698.0,13.47,682256.0649,50650.04,50.85,50581.0
2021-02-24 08:25:00,0.0,50628.5,50724.0,50564.5,50673.0,14.49,733987.955,50654.79,44.63,50628.5
2021-02-24 08:30:00,0.01,50665.0,50888.0,50665.0,50706.0,31.29,1589389.4629,50795.44,48.4,50823.5
2021-02-24 08:35:00,0.0,50725.0,50833.0,50635.5,50708.5,25.31,1284004.53,50731.12,43.59,50799.5
2021-02-24 08:40:00,0.01,50761.0,50761.0,50428.0,50464.5,34.94,1768490.9510000001,50615.08,59.25,50665.4
2021-02-24 08:45:00,0.0,50451.0,50523.5,50340.0,50502.5,34.26,1727537.607,50424.33,45.3,50347.5
2021-02-24 08:50:00,0.0,50486.0,50700.0,50486.0,50681.0,22.55,1141413.1816,50616.99,65.27,50655.5
2021-02-24 08:55:00,0.0,50656.5,50760.0,50601.5,50674.5,10.09,511367.5566,50680.63,31.84,50720.5
2021-02-24 09:00:00,0.0,50679.5,50679.5,50469.0,50473.5,22.31,1127898.745,50555.75,63.22,50542.9
2021-02-24 09:05:00,0.01,50509.0,50618.0,50417.5,50452.0,35.26,1782390.5623,50549.93,45.53,50517.0
2021-02-24 09:10:00,0.0,50489.0,50609.5,50389.0,50609.5,5.62,283864.9396,50509.78,46.12,50454.0
2021-02-24 09:15:00,0.01,50614.5,50982.5,50612.5,50891.0,56.23,2859126.2424500003,50846.99,104.94,50878.5
2021-02-24 09:20:00,0.0,50928.5,50986.25,50773.5,50791.97,18.49,941099.5025,50897.76,49.59,50903.0
2021-02-24 09:25:00,0.0,50748.5,50884.5,50689.5,50776.0,23.63,1201145.6978,50831.39,38.37,50842.5
2021-02-24 09:30:00,0.01,50834.0,51012.25,50800.0,50838.007,23.71,1206882.1127,50901.82,56.13,50976.0
2021-02-24 09:35:00,0.0,50851.5,51264.0,50833.47,51264.0,19.53,996390.4940000001,51018.46,109.11,51052.5
2021-02-24 09:40:00,0.01,51293.0,51449.5,51132.5,51300.5,74.43,3819142.98612,51311.88,73.14,51388.0
2021-02-24 09:45:00,0.0,51330.0,51330.0,50982.5,51004.0,14.36,734789.14948,51169.16,86.59,51255.5
2021-02-24 09:50:00,0.0,50956.25,51096.5,50888.5,50948.5,3.29,167618.58789,50947.9,45.26,50932.5
2021-02-24 09:55:00,0.0,50964.5,50964.5,50871.0,50896.5,5.29,269405.0569,50927.23,22.62,50895.0
