timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,krkn_vwap,sigma,krkn_vwmp (lower)
2021-02-24 07:15:00,0.01,49556.2,49861.1,49556.2,49704.6,22.45,1115639.609984556,49692.08,91.37,49800.0
2021-02-24 07:20:00,0.01,49753.4,50048.1,49753.4,49981.0,14.58,728531.9657008171,49957.87,60.22,50048.1
2021-02-24 07:25:00,0.01,49983.8,49983.8,49595.6,49700.0,25.2,1254536.189290976,49774.85,133.8,49610.2
2021-02-24 07:30:00,0.01,49700.0,50050.0,49700.0,49997.5,9.62,480225.678548748,49943.07,72.88,50008.1
2021-02-24 07:35:00,0.01,49972.2,50240.6,49960.0,50117.5,36.57,1831567.334225226,50081.2,79.38,50092.2
2021-02-24 07:40:00,0.01,50145.0,50180.4,50041.8,50103.3,8.37,419373.474156255,50108.13,36.41,50157.0
2021-02-24 07:45:00,0.01,50103.7,50254.0,49979.1,50234.5,26.0,1303779.754186163,50147.71,76.66,50074.0
2021-02-24 07:50:00,0.01,50199.3,50374.4,50071.0,50155.3,32.01,1608309.9681390699,50249.63,94.81,50334.9
2021-02-24 07:55:00,0.01,50143.7,50200.0,50091.7,50140.7,15.96,800547.875755,50163.18,24.76,50164.1
2021-02-24 08:00:00,0.02,50140.7,50199.0,49812.8,50166.5,37.94,1898777.569666758,50045.99,97.72,50128.2
2021-02-24 08:05:00,0.01,50200.0,50500.0,50125.8,50500.0,30.79,1548221.262217304,50279.02,107.77,50200.0
2021-02-24 08:10:00,0.01,50473.3,50500.0,50382.2,50500.0,14.12,712058.505670534,50426.81,27.8,50400.0
2021-02-24 08:15:00,0.03,50500.0,50893.0,50499.9,50769.2,64.38,3263342.0370960208,50692.21,138.6,50774.3
2021-02-24 08:20:00,0.01,50782.2,50782.2,50606.2,50700.0,26.25,1330513.963216918,50686.53,31.82,50697.5
2021-02-24 08:25:00,0.02,50700.0,50749.8,50574.0,50684.4,33.11,1676878.3041353,50651.86,35.25,50622.6
2021-02-24 08:30:00,0.01,50671.1,50912.5,50671.1,50701.9,17.97,913082.383732562,50800.02,63.07,50893.0
2021-02-24 08:35:00,0.01,50702.0,50856.9,50675.7,50756.3,16.89,857346.929646443,50764.99,40.29,50841.5
2021-02-24 08:40:00,0.02,50756.4,50756.4,50445.4,50479.7,27.61,1397262.960085263,50602.49,74.49,50642.3
2021-02-24 08:45:00,0.01,50482.3,50559.1,50350.1,50482.6,18.02,909325.16709586,50474.37,46.17,50445.4
2021-02-24 08:50:00,0.01,50497.2,50725.6,50497.2,50690.1,8.05,407841.43043166597,50641.17,65.53,50690.1
2021-02-24 08:55:00,0.01,50690.1,50745.0,50633.5,50682.8,19.6,993451.647521675,50684.89,26.1,50700.5
2021-02-24 09:00:00,0.01,50682.9,50682.9,50463.0,50489.2,10.73,542732.774109359,50566.27,59.72,50582.8
2021-02-24 09:05:00,0.01,50489.2,50621.1,50433.8,50484.1,9.0,454785.659116248,50542.52,43.08,50600.7
2021-02-24 09:10:00,0.01,50480.6,50615.0,50380.7,50615.0,8.44,426623.00650894,50526.28,60.34,50549.2
2021-02-24 09:15:00,0.01,50620.6,50975.1,50620.6,50914.0,21.57,1094985.45313166,50774.58,108.53,50889.9
2021-02-24 09:20:00,0.01,50914.0,50980.5,50778.8,50801.0,22.9,1165560.820203034,50889.1,52.89,50850.9
2021-02-24 09:25:00,0.01,50787.6,50897.8,50750.3,50814.8,17.14,871290.031123977,50845.61,34.87,50877.3
2021-02-24 09:30:00,0.02,50843.9,51092.0,50801.0,50875.4,42.72,2178363.145642993,50996.4,67.91,51060.8
