timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,all_vwap,sigma,all_vwmp (upper)
2021-02-24 06:05:00,0.19,50516.93,50710.31,50387.39,50493.41,325.13,16435877.352963734,50550.96,68.45,50650.1
2021-02-24 06:10:00,0.43,50494.45,50583.69,49330.0,49755.99,686.38,34243017.10277082,49889.13,273.32,50000.0
2021-02-24 06:15:00,0.34,49735.0,49954.83,49210.0,49639.0,743.64,36870533.93537519,49580.9,148.95,49661.4
2021-02-24 06:20:00,0.19,49667.24,50180.1,49514.0,50050.48,228.67,11405677.071878409,49878.07,173.7,49675.7
2021-02-24 06:25:00,0.24,50101.89,50140.75,49345.0,49665.03,290.08,14437224.980063796,49769.27,166.32,50000.0
2021-02-24 06:30:00,0.21,49658.53,49951.94,49524.08,49810.57,309.55,15405128.366339946,49766.88,90.15,49806.4
2021-02-24 06:35:00,0.15,49813.51,49949.4,49527.57954753,49865.61,217.16,10796989.457596714,49719.4,88.24,49700.0
2021-02-24 06:40:00,0.15,49864.78,50073.44,49655.0,50037.4,161.79,8070378.712362342,49880.53,85.64,49924.1
2021-02-24 06:45:00,0.2,50058.52,50551.92,49958.0,50235.21,213.87,10737515.546704657,50204.86,110.24,50086.3
2021-02-24 06:50:00,0.12,50238.85,50262.75,49884.0,49961.3,138.11,6908960.03239954,50024.24,74.53,49893.0
2021-02-24 06:55:00,0.11,49954.01,50179.0,49860.0,50099.64,136.01,6807130.87481205,50050.01,57.15,50000.0
2021-02-24 07:00:00,0.09,50098.05,50206.4,49868.0,50006.88,76.8,3842776.8504844005,50033.48,72.96,50139.61
2021-02-24 07:05:00,0.15,50011.74,50117.45,49682.0,49821.73,139.57,6963898.294738935,49896.75,106.75,49895.7
2021-02-24 07:10:00,0.17,49821.72,49889.83,49476.0,49548.22,140.18,6969912.141946196,49722.83,95.37,49829.1
2021-02-24 07:15:00,0.14,49539.4,49878.5,49472.0,49717.12,150.3,7463245.6519526,49654.25,95.79,49600.0
2021-02-24 07:20:00,0.1,49711.78,50053.5,49658.0,49974.05,84.3,4206891.286476145,49904.89,81.77,50000.0
2021-02-24 07:25:00,0.16,49989.18,50013.5,49582.13177446,49696.16,171.68,8547701.905293828,49788.31,120.08,49887.07
2021-02-24 07:30:00,0.12,49712.25,50077.0,49659.0,49972.35,114.07,5694835.203722404,49925.02,75.34,49865.6
2021-02-24 07:35:00,0.16,49972.2,50251.5,49861.13,50141.45,189.09,9469110.08428672,50076.68,81.36,49960.0
2021-02-24 07:40:00,0.08,50112.72,50205.51,49977.0,50088.56,81.64,4089302.9167750245,50086.86,41.77,50128.3
2021-02-24 07:45:00,0.14,50079.9,50273.97,49922.0,50148.0,111.97,5612577.717879942,50125.2,68.85,50092.6
2021-02-24 07:50:00,0.14,50169.62,50374.4,50031.0,50100.0,200.42,10067574.96568267,50232.72,75.58,50265.07
2021-02-24 07:55:00,0.08,50127.08,50245.5,50033.7360664,50082.62,103.58,5193858.712114775,50142.38,39.87,50107.0
2021-02-24 08:00:00,0.19,50090.93,50239.0,49770.5,50208.48,269.72,13501801.381674146,50057.77,111.62,49880.8
2021-02-24 08:05:00,0.16,50211.66,50514.5,50115.79,50483.5,157.66,7933592.767600628,50321.16,95.47,50450.0
2021-02-24 08:10:00,0.12,50440.0,50530.67,50315.0,50496.62,142.75,7198168.247467232,50425.55,41.6,50391.7
2021-02-24 08:15:00,0.35,50500.0,50944.0,50484.0,50780.0,539.92,27410118.48833515,50767.44,126.63,50774.4
2021-02-24 08:20:00,0.14,50773.21,50795.44,50554.0,50668.06,208.21,10556606.937881544,50700.88,54.29,50662.3
2021-02-24 08:25:00,0.14,50689.42,50761.09,50530.0,50643.76,195.45,9900617.607809087,50656.59,45.66,50633.0
2021-02-24 08:30:00,0.16,50643.59,51089.72,50636.08,50701.9,203.22,10326654.681310691,50814.87,62.76,50900.0
2021-02-24 08:35:00,0.14,50715.69,50875.97,50617.0,50732.21,153.91,7809285.55697629,50737.71,48.59,50700.0
2021-02-24 08:40:00,0.18,50752.35,50765.14,50356.0,50433.83,224.13,11337277.67781139,50582.42,98.22,50500.0
2021-02-24 08:45:00,0.15,50442.91,50623.2,50287.0,50456.0,237.37,11975239.870558774,50449.2,63.79,50437.67
2021-02-24 08:50:00,0.11,50492.94,50743.14,50435.0,50690.1,145.85,7379513.751450902,50597.24,67.89,50675.0
2021-02-24 08:55:00,0.11,50665.54,50785.03,50568.0,50666.7,146.59,7429248.338978834,50681.46,37.17,50713.9
2021-02-24 09:00:00,0.13,50659.75,50715.04,50359.0,50492.19,142.26,7192013.925314671,50557.05,78.39,50671.3
2021-02-24 09:05:00,0.12,50493.5,50643.07,50370.0,50480.17,158.44,8006265.732509925,50531.47,52.87,50564.5
2021-02-24 09:10:00,0.12,50400.0,50619.76,50293.0,50615.0,128.81,6503731.593346272,50491.22,77.23,50535.5
2021-02-24 09:15:00,0.24,50609.49,51000.0,50500.0,50938.26,260.22,13222531.953687543,50812.29,120.02,50900.0
2021-02-24 09:20:00,0.14,50924.59,51058.84,50671.0,50762.61,250.76,12757218.346684942,50874.81,64.74,50978.76
2021-02-24 09:25:00,0.14,50782.43,50908.87,50608.0,50787.29,165.01,8382012.703277471,50797.79,62.27,50801.0
2021-02-24 09:30:00,0.17,50797.05,51092.0,50695.0,50861.42,188.87,9617681.52521635,50921.56,75.14,50724.0
2021-02-24 09:35:00,0.29,50856.48,51264.0,50729.0,51156.0,486.52,24797934.64510072,50969.53,132.36,51150.0
2021-02-24 09:40:00,0.24,51156.0,51449.5,51011.0,51332.76,380.87,19523818.930616677,51261.75,85.83,51232.9
2021-02-24 09:45:00,0.22,51334.17,51387.961,50868.0,50980.03,216.89,11097032.935057243,51164.42,97.51,51166.1
2021-02-24 09:50:00,0.12,50987.39,51124.809,50794.0,50796.0,117.12,5964880.136242014,50927.95,60.18,51003.9
2021-02-24 09:55:00,0.08,50935.97,51014.999,50794.0,50900.68,75.54,3845059.6069483655,50897.7,41.54,50899.9
2021-02-24 10:00:00,0.11,50900.0,51088.359,50793.0,50799.0,177.1,9020863.566259239,50935.17,60.66,50938.4
2021-02-24 10:05:00,0.18,50897.91,51057.248,50620.0,50981.9,232.97,11845168.25408035,50843.62,102.53,50932.5
2021-02-24 10:10:00,0.17,50993.08,51028.288,50525.0,50700.1,155.03,7867909.3728356855,50750.7,107.86,50667.5
2021-02-24 10:15:00,0.2,50663.5,50714.107,50217.0,50463.0,264.64,13361026.266272854,50487.2,111.19,50630.7
