timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,stmp_vwap,sigma,stmp_vwmp (upper)
2021-02-24 10:15:00,0.01,50687.62,50707.31,50390.0,50550.0,50.08,2532571.429549227,50575.12,66.14,50512.83
2021-02-24 10:20:00,0.01,50565.5,50666.32,50257.26,50262.58,67.23,3397081.134970622,50531.43,110.42,50666.32
2021-02-24 10:25:00,0.01,50254.99,50539.0,50160.49,50434.52,16.45,828989.128064822,50385.95,121.62,50177.01
2021-02-24 10:30:00,0.01,50455.27,50648.89,50417.96,50558.06,38.59,1951458.0059419766,50569.62,40.91,50585.34
2021-02-24 10:35:00,0.01,50534.22,50534.22,50251.3,50350.92,21.08,1061117.6935346285,50328.87,65.54,50300.0
2021-02-24 10:40:00,0.01,50361.3,50592.88,50361.3,50551.28,15.28,772072.4540972207,50522.9,63.85,50433.51
2021-02-24 10:45:00,0.01,50579.91,50633.73,50500.0,50577.61,26.14,1321803.1210834207,50562.28,28.1,50579.91
2021-02-24 10:50:00,0.01,50540.0,50595.67,50351.8,50409.1,21.26,1073321.2632494282,50494.23,61.72,50397.7
2021-02-24 10:55:00,0.01,50413.63,50450.0,50096.98,50115.03,34.9,1754471.0162099656,50265.35,101.68,50147.58
2021-02-24 11:00:00,0.01,50127.96,50545.44,50127.39,50469.57,27.22,1369935.1720787352,50319.67,84.66,50301.17
2021-02-24 11:05:00,0.01,50469.61,50637.35,50452.99,50522.6,10.67,539149.5082483635,50541.35,40.0,50620.44
2021-02-24 11:10:00,0.0,50535.99,50615.9,50429.1,50429.1,7.85,396945.6479550207,50556.7,41.47,50584.43
2021-02-24 11:15:00,0.01,50453.12,50497.66,50292.51,50356.72,28.34,1428301.0288647397,50390.5,47.79,50398.48
2021-02-24 11:20:00,0.01,50357.85,50888.26,50346.89,50873.21,31.87,1614950.5639109777,50679.05,202.36,50851.18
2021-02-24 11:25:00,0.01,50869.28,50920.97,50741.38,50778.74,9.69,492538.8728852174,50808.07,38.13,50855.3
2021-02-24 11:30:00,0.0,50779.4,50867.99,50658.97,50666.49,8.86,449407.1212288399,50738.13,55.63,50696.68
2021-02-24 11:35:00,0.0,50686.49,50752.16,50600.0,50623.25,5.8,293900.9780246706,50681.15,36.89,50658.97
2021-02-24 11:40:00,0.01,50640.42,50693.96,50315.59,50366.55,69.66,3514222.9327764288,50448.03,96.2,50409.18
