timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,okcn_vwap,sigma,okcn_vwmp (upper)
2021-02-24 11:30:00,0.0,50766.28,50903.97,50672.46,50688.74,0.13,6421.24014,50800.95,66.52,50802.14
2021-02-24 11:35:00,0.0,50662.02,50752.5,50620.14,50631.25,0.14,7125.9710939999995,50682.58,32.99,50723.71
2021-02-24 11:40:00,0.0,50626.5,50683.94,50388.65,50400.25,0.24,12185.256886000001,50603.23,97.03,50624.4
2021-02-24 11:45:00,0.0,50412.03,50522.39,50344.39,50383.88,0.57,28635.20323,50485.2,43.36,50403.39
2021-02-24 11:50:00,0.0,50392.79,50392.79,50277.0,50328.06,1.64,82256.043815,50300.28,30.23,50336.89
2021-02-24 11:55:00,0.0,50345.59,50406.3,50343.78,50377.79,0.89,45096.0101,50392.23,17.84,50400.28
2021-02-24 12:00:00,0.0,50406.27,50657.52,50398.72,50606.12,2.94,148748.761158,50546.68,71.78,50606.12
2021-02-24 12:05:00,0.0,50622.53,50787.08,50539.24,50539.24,1.17,59241.837906,50642.71,71.23,50775.53
2021-02-24 12:10:00,0.0,50564.53,50837.38,50378.29,50837.38,0.48,24197.124725,50442.2,129.21,50837.38
2021-02-24 12:15:00,0.0,50852.41,50979.14,50776.05,50806.2,3.13,159136.312242,50881.29,53.66,50979.14
2021-02-24 12:20:00,0.0,50765.5,51147.64,50765.5,51143.8,8.98,458033.995678,51001.47,115.83,50825.41
2021-02-24 12:25:00,0.0,51141.44,51204.51,50975.08,51141.31,2.59,132513.372509,51149.64,50.76,51141.44
2021-02-24 12:30:00,0.0,51131.69,51287.66,51062.77,51241.03,1.3,66574.22140000001,51144.06,51.67,51121.34
2021-02-24 12:35:00,0.0,51297.97,51338.97,51143.17,51174.06,1.29,65886.880904,51245.92,47.29,51174.06
2021-02-24 12:40:00,0.0,51199.2,51199.33,50925.45,50925.45,1.37,69893.02461400001,51042.89,87.43,50925.45
2021-02-24 12:45:00,0.0,50928.21,51087.65,50928.21,51034.08,1.3,66515.210567,51043.83,50.11,50995.66
2021-02-24 12:50:00,0.0,51076.42,51076.42,50866.62,50897.0,0.53,26885.890518,50939.54,53.43,50942.47
2021-02-24 12:55:00,0.0,50893.71,50893.71,50700.4,50735.42,3.32,168474.838582,50754.61,64.81,50893.71
2021-02-24 13:00:00,0.0,50779.47,51105.22,50772.23,50967.34,5.49,279939.542653,51015.9,82.78,51105.22
2021-02-24 13:05:00,0.0,50975.46,50984.79,50518.9,50557.01,12.87,651325.627373,50613.95,145.24,50560.59
2021-02-24 13:10:00,0.0,50557.02,50724.02,50407.25,50466.05,3.64,183726.356684,50521.46,62.42,50622.95
2021-02-24 13:15:00,0.01,50476.25,50476.25,49577.21,49577.21,11.17,559198.083435,50083.57,176.2,49863.2
2021-02-24 13:20:00,0.0,49577.21,49991.87,49518.2,49854.64,1.74,86636.53069,49753.94,126.75,49801.62
2021-02-24 13:25:00,0.0,49880.12,49969.48,49581.0,49621.93,6.99,347860.42931700003,49740.53,120.14,49897.84
2021-02-24 13:30:00,0.01,49628.68,49817.42,49108.0,49178.48,17.0,840981.3109269999,49477.93,183.66,49305.75
2021-02-24 13:35:00,0.01,49177.35,49567.34,49177.35,49287.52,9.99,493431.347687,49402.42,74.14,49418.1
2021-02-24 13:40:00,0.0,49304.64,49563.4,49304.64,49492.21,1.85,91636.634831,49437.11,66.96,49459.57
2021-02-24 13:45:00,0.0,49494.68,49884.03,49327.87,49764.21,0.84,41678.276771000004,49723.55,175.47,49853.25
2021-02-24 13:50:00,0.0,49788.35,49788.35,49541.72,49553.1,0.88,43942.3291,49702.89,67.47,49691.66
2021-02-24 13:55:00,0.0,49597.97,49622.82,49418.73,49502.71,2.3,114007.689725,49486.8,54.81,49614.56
2021-02-24 14:00:00,0.0,49532.6,49797.52,49532.6,49797.52,1.73,85762.141677,49694.14,47.58,49782.51
2021-02-24 14:05:00,0.0,49759.89,49759.89,49310.6,49336.6,5.47,270433.188786,49440.24,120.57,49692.57
2021-02-24 14:10:00,0.0,49312.72,49474.41,49174.28,49458.35,1.99,98067.451793,49257.85,75.34,49474.41
2021-02-24 14:15:00,0.0,49391.85,49658.73,49391.85,49640.12,2.14,106017.912031,49587.42,80.83,49401.58
2021-02-24 14:20:00,0.0,49640.08,49640.08,49381.64,49407.05,1.8,89262.15793900001,49551.55,64.85,49407.05
2021-02-24 14:25:00,0.0,49435.71,49554.48,49352.16,49504.47,2.07,102483.219453,49427.62,44.22,49504.47
2021-02-24 14:30:00,0.0,49486.32,49668.45,49381.13,49381.13,0.55,27060.271498,49542.79,70.29,49427.19
2021-02-24 14:35:00,0.0,49371.88,49415.06,49185.27,49328.87,0.42,20635.195386,49307.52,64.86,49209.13
2021-02-24 14:40:00,0.0,49362.29,49389.56,48797.43,48846.82,2.39,116771.464402,48950.52,145.82,49148.69
2021-02-24 14:45:00,0.0,48838.47,49222.42,48838.47,49218.17,0.92,45022.930522,49098.07,112.13,49215.95
2021-02-24 14:50:00,0.0,49164.85,49197.67,48943.59,49076.57,2.86,140407.477342,49047.22,77.65,49095.54
2021-02-24 14:55:00,0.0,49059.55,49462.73,49059.55,49416.13,0.71,35118.971415,49255.22,98.77,49254.63
2021-02-24 15:00:00,0.0,49385.65,49623.65,49367.67,49531.02,2.65,131123.009659,49515.88,60.36,49385.65
